ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12531,W3EKRH,HGELM,ASDEX,0.3705,2.2,4.518,1.4649999999999999,1.675,1.004,0.23767164179104477,1.5,0.07109,19820708,6322,1.232,3.279,0.0,1037.64008142693,15.272272575539997,2.821036969181693,0.10426533333333335,0.006486592756623221,0.6873545237803556,0.2299834723384728,1.4666666666666668
12532,FBSIRJ,HGELM,ASDEX,0.3691,2.2,4.686,1.9709999999999999,1.673,0.996,0.23998804542737598,1.5,0.06233,19820708,6322,1.283,3.398,0.0,1170.12551561204,15.374179653625351,2.8600714886957572,0.09141733333333335,0.006829927851441736,0.8039380118526923,0.18845185879216916,1.4666666666666668
12537,9335V9,HSELM,ASDEX,0.3717,2.198,4.536,1.0719999999999998,1.676,1.012,0.23573985680190931,1.5,0.07901,19820708,6327,1.186,3.178,0.0,845.920278600111,15.066005361949426,2.78635847168911,0.11577598666666666,0.0059066076276953405,0.5636120854584408,0.34289128207635866,1.4653333333333334
12538,9K2EUK,HGELM,ASDEX,0.3716,2.199,4.891,1.391,1.679,0.9997,0.23823704586063132,1.5,0.08354,19820708,6327,1.225,3.313,0.0,1061.02777184654,15.254897945983856,2.8181725130038013,0.12246964,0.00653109914620145,0.761565298633573,0.237323348117009,1.466
12539,CHX54C,HGELM,ASDEX,0.36929999999999996,2.198,4.9239999999999995,1.9269999999999998,1.673,0.9947,0.24022713687985653,1.5,0.06374,19820708,6327,1.264,3.405,0.0,1112.72838655171,15.299112703421724,2.8581887256582896,0.09340034666666668,0.006659735961328516,0.8047945499872324,0.21744146753990237,1.4653333333333334
12544,HIO49B,HGELM,ASDEX,0.2969,2.198,5.6579999999999995,1.627,1.674,1.004,0.23811230585424134,1.5,0.04189,19820708,6336,1.179,4.103,0.0,541.247403740135,14.508944269409906,3.5262969278153324,0.06138281333333333,0.0046831821765923425,0.44981774529135615,1.2528276995127257,1.4653333333333334
12545,TXP09Z,HGELM,ASDEX,0.2948,2.198,5.668,1.803,1.674,0.9945,0.24026284348864996,1.5,0.04557,19820708,6336,1.242,4.274,0.0,645.459272878402,14.684146976797173,3.5833153604762167,0.06677524,0.005068422258223953,0.5373738157644977,0.8954350989925307,1.4653333333333334
12546,Q2H793,HGELM,ASDEX,0.2946,2.198,5.6579999999999995,1.948,1.671,0.9926,0.2412327947336924,1.5,0.04352,19820708,6336,1.304,4.325,0.0,666.956281735542,14.717792286032786,3.6000024573521663,0.06377130666666668,0.005140629676384408,0.5542913809564045,0.836408186191683,1.4653333333333334
12552,TJS511,HGELM,ASDEX,0.1969,2.2,2.067,1.657,1.69,0.9363,0.2529585798816568,1.5,0.0225,19820713,6374,0.91,8.475,0.0,748.044704887798,15.3360166250609,5.657823727036805,0.033,0.005128768520746759,0.2267022650535423,0.37466455505383184,1.4666666666666668
12553,3IE2EC,HGELM,ASDEX,0.1964,2.201,2.0709999999999997,1.665,1.676,0.9376,0.25471360381861574,1.5,0.02225,19820713,6374,0.92,8.561,0.0,749.415068314209,15.336880225451434,5.713695145299094,0.032648166666666666,0.005138343514006661,0.22735034948442784,0.3707386149770417,1.4673333333333334
12558,N0X4CE,HSELM,ASDEX,0.1971,2.2,3.144,1.204,1.666,0.9385,0.2558823529411765,1.5,0.03962,19820713,6406,0.89,8.556,0.0,640.497633790005,14.971100513058921,5.712179179471012,0.05810933333333334,0.004759144299170792,0.29524863376303423,0.7423354351686875,1.4666666666666668
12559,TIP3BW,HSELM,ASDEX,0.19699999999999998,2.2,3.138,1.4769999999999999,1.658,0.9329,0.2586248492159228,1.5,0.0329,19820713,6406,0.9,8.936,0.0,653.111020714955,14.991557327408042,5.775886248641382,0.048253333333333336,0.004777758240380359,0.30048844830073573,0.7066528566510261,1.4666666666666668
12560,QHX682,HSELM,ASDEX,0.1963,2.2,3.062,1.6949999999999998,1.652,0.9308,0.26016949152542374,1.5,0.02824,19820713,6406,0.91,9.145,0.0,660.090945411548,15.014446496317188,5.833731301132317,0.04141866666666667,0.004792045327967783,0.29634444547621247,0.6743130222147137,1.4666666666666668
12565,9E983O,HSELM,ASDEX,0.19799999999999998,1.574,3.193,0.4168,1.666,0.9577,0.2510804321728692,1.5,0.1045,19820713,6412,0.888,5.464,0.0,586.319025445101,14.874986619923952,3.998361272420628,0.10965533333333334,0.006486083306926846,0.5362368318919143,0.6437361953597432,1.0493333333333335
12566,69YFAA,HSELM,ASDEX,0.19749999999999998,1.573,3.194,0.5878,1.66,0.9504,0.25403614457831325,1.5,0.08113,19820713,6412,0.899,5.747,0.0,638.152498595054,14.95954327922664,4.0540152312259385,0.08507832666666666,0.006716422919721136,0.5845681264788629,0.5426716889409721,1.0486666666666666
12567,XWP3BY,HSELM,ASDEX,0.1974,1.574,3.298,1.029,1.656,0.9451,0.2560386473429952,1.5,0.05018,19820713,6412,0.91,5.957,0.0,667.04237305526,14.987798482977464,4.0899082560728734,0.05265554666666668,0.00682518218345524,0.6301265943985263,0.5110694668089149,1.0493333333333335
12574,3LEH8Z,HGELM,ASDEX,0.2944,2.201,3.96,1.924,1.68,0.9694,0.24541666666666667,1.5,0.05045,19820713,6415,1.228,4.754,0.0,1061.77140559158,15.361174940356527,3.668073101996893,0.07402696666666667,0.006332719572538323,0.6159129241628336,0.24067524749763805,1.4673333333333334
12579,A9NCAO,HSELM,ASDEX,0.29769999999999996,2.201,3.538,0.9813999999999999,1.658,0.9933,0.24282267792521112,1.5,0.06394,19820713,6416,1.177,4.315,0.0,796.77294280913,15.130391973836538,3.588961102206706,0.09382129333333333,0.0056179982212628205,0.41293862982327584,0.36901237920809254,1.4673333333333334
